"Case_ID","Sample_ID","Tumor_Type","DiseaseAcronym2","Status","Symbol","Breed_info","Sample_status","Bioproject","Reason_to_exclude"
"004","SRR9911376","MT","MT","Tumor","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"004","SRR9911377","MT","MT","Normal","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"007","SRR9911361","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"007","SRR9911362","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"008","SRR9911360","MT","MT","Normal","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"008","SRR9911371","MT","MT","Tumor","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"009","SRR9911352","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"009","SRR9911353","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"013","SRR9911363","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"013","SRR9911364","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"022","SRR9911365","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"022","SRR9911366","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"024","SRR9911368","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"024","SRR9911381","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"026","SRR9911378","MT","MT","Tumor","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"026","SRR9911379","MT","MT","Normal","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"047","SRR9911367","MT","MT","Tumor","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"047","SRR9911380","MT","MT","Normal","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"062","SRR9911369","MT","MT","Tumor","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"062","SRR9911370","MT","MT","Normal","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"063","SRR9911354","MT","MT","Normal","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"063","SRR9911355","MT","MT","Tumor","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"070","SRR9911346","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"070","SRR9911347","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"072","SRR9911357","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"072","SRR9911358","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"073","SRR9911350","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"073","SRR9911351","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"088","SRR9911356","MT","MT","Normal","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"088","SRR9911359","MT","MT","Tumor","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"095","SRR9911348","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"095","SRR9911349","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"119","SRR9911344","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"119","SRR9911345","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"125","SRR9911342","MT","MT","Normal","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"125","SRR9911343","MT","MT","Tumor","MT SNU","Schnauzer","Frozen","PRJNA552905","Pass QC"
"132","SRR9911372","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"132","SRR9911373","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"153","SRR9911374","MT","MT","Tumor","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"153","SRR9911375","MT","MT","Normal","MT SNU","Maltese","Frozen","PRJNA552905","Pass QC"
"AleKee","SAMN03732738","OSA","OSA","Normal","OSA BI","Greyhound","Frozen","PRJNA247493","Pass QC"
"AleKee","SAMN03436835","OSA","OSA","Tumor","OSA BI","Greyhound","Frozen","PRJNA247493","Pass QC"
"AllSmi","SAMN03436686","OSA","OSA","Normal","OSA BI","Greyhound","Frozen","PRJNA247493","Pass QC"
"AllSmi","SAMN03732754","OSA","OSA","Tumor","OSA BI","Greyhound","Frozen","PRJNA247493","Pass QC"
"AlvWen","SAMN03732751","OSA","OSA","Normal","OSA BI","Greyhound","Frozen","PRJNA247493","Pass QC"
"AlvWen","SAMN03436468","OSA","OSA","Tumor","OSA BI","Greyhound","Frozen","PRJNA247493","Pass QC"
"BelBer","SAMN04002390","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"BelBer","SAMN04002385","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"BenGal","SAMN04002435","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"BenGal","SAMN04002423","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"BENTUC","SAMN04009644","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"BENTUC","SAMN04009636","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
